Id,SalePrice
1461,126147.21875
1462,151063.578125
1463,168495.3125
1464,178537.359375
1465,212070.734375
1466,175039.890625
1467,167764.640625
1468,175039.890625
1469,186379.828125
1470,113868.375
1471,183633.109375
1472,94288.0859375
1473,94288.0859375
1474,162488.96875
1475,135724.484375
1476,385070.3125
1477,274546.1875
1478,336331.3125
1479,308659.40625
1480,436490.0
1481,308659.40625
1482,219410.015625
1483,177475.671875
1484,177475.671875
1485,173670.921875
1486,200783.578125
1487,365399.0625
1488,254469.828125
1489,207414.515625
1490,200100.953125
1491,192856.296875
1492,113794.875
1493,162488.96875
1494,297363.8125
1495,297363.8125
1496,220127.640625
1497,200100.953125
1498,167764.640625
1499,167764.640625
1500,168495.3125
1501,177475.671875
1502,162996.953125
1503,289130.5625
1504,234044.59375
1505,217622.21875
1506,192856.296875
1507,220127.640625
1508,186379.828125
1509,167764.640625
1510,151063.578125
1511,151063.578125
1512,162996.953125
1513,157146.4375
1514,147331.046875
1515,161985.65625
1516,151063.578125
1517,147331.046875
1518,151063.578125
1519,202784.515625
1520,140678.953125
1521,143884.375
1522,161985.65625
1523,129524.3984375
1524,126147.21875
1525,129524.3984375
1526,129524.3984375
1527,94288.0859375
1528,130599.171875
1529,151063.578125
1530,157146.4375
1531,112623.796875
1532,94362.484375
1533,147331.046875
1534,113794.875
1535,142041.34375
1536,112113.6953125
1537,84282.328125
1538,162488.96875
1539,193914.71875
1540,130599.171875
1541,140678.953125
1542,130599.171875
1543,192642.703125
1544,88931.46875
1545,97266.828125
1546,113278.0703125
1547,132910.078125
1548,130113.7109375
1549,94796.3359375
1550,145277.8125
1551,109367.859375
1552,130113.7109375
1553,130599.171875
1554,114312.625
1555,168768.21875
1556,138817.015625
1557,130007.6640625
1558,111327.3984375
1559,113868.375
1560,146501.453125
1561,143396.421875
1562,126147.21875
1563,114382.4140625
1564,151063.578125
1565,151063.578125
1566,186379.828125
1567,88931.46875
1568,211674.09375
1569,111600.59375
1570,111512.9296875
1571,125766.671875
1572,124938.3515625
1573,207414.515625
1574,140678.953125
1575,192856.296875
1576,195122.375
1577,187109.46875
1578,147331.046875
1579,143884.375
1580,192856.296875
1581,139427.1875
1582,130599.171875
1583,297363.8125
1584,237705.546875
1585,147331.046875
1586,81110.28125
1587,93856.5625
1588,126147.21875
1589,99931.9921875
1590,125506.796875
1591,99931.9921875
1592,130007.6640625
1593,126721.1640625
1594,129412.65625
1595,130599.171875
1596,234044.59375
1597,168768.21875
1598,186379.828125
1599,167764.640625
1600,186379.828125
1601,53161.26953125
1602,94796.3359375
1603,88931.46875
1604,284759.59375
1605,237705.546875
1606,162488.96875
1607,168495.3125
1608,216912.765625
1609,207414.515625
1610,168495.3125
1611,151063.578125
1612,173670.921875
1613,162996.953125
1614,110817.890625
1615,88931.46875
1616,88931.46875
1617,88931.46875
1618,125766.671875
1619,130599.171875
1620,173670.921875
1621,147331.046875
1622,147331.046875
1623,237705.546875
